#,T% in a parallel beam at AOI 5 deg,,,,
# Wavelength[nm],Location 1,Location 2,Location 3,Location 4,Location 5
920.0 ,0.069875,0.050302,0.037098,0.017479,1.13E-02
919.8 ,0.013385,0.075102,0.023663,0.037058,5.25E-02
919.6 ,0.004141,0.041554,0.016594,0.033223,6.21E-02
919.4 ,0.040694,0.007313,0.059312,0.020859,1.77E-02
919.2 ,0.04607,0.013613,0.055374,0.01672,0.00E+00
919.0 ,0.124933,0.008415,0.007356,0.129392,4.09E-02
918.8 ,0.029603,0.012698,0.096076,0.001058,1.58E-02
918.6 ,0.063642,0.008503,0.030771,0.007428,3.93E-02
918.4 ,0.004267,0.084409,0.101094,0.03411,7.25E-02
918.2 ,0.007529,0.052728,0.035389,0.055935,0.00E+00
918.0 ,0.033435,0.037682,0.029023,0.043122,9.71E-03
917.8 ,0.029308,0.034722,0.06621,0.043385,7.05E-02
917.6 ,0.043408,0.039091,0.007597,0.111843,0.043532
917.4 ,0.071108,0.017465,0.039325,0.094872,1.64E-02
917.2 ,0.007668,0.052434,0.061175,0.038302,0.018556
917.0 ,0.09706,0.017662,0.008808,0.027581,2.76E-02
916.8 ,0.053086,0.017705,0.032017,0.032105,0.034266
916.6 ,0.040024,0.054562,0.085534,0.01891,6.23E-02
916.4 ,0.008921,0.058142,0.068029,0.062455,8.36E-02
916.2 ,0.095403,0.121496,0.023578,0.018004,0.00E+00
916.0 ,0.021398,0.043904,0.028194,0.048541,8.24E-02
915.8 ,0.010233,0.01702,0,0.108877,1.92E-02
915.6 ,0.039787,0.036376,0.062529,0.004541,0.032874
915.4 ,0.082131,0.062763,0.118896,0.059486,4.57E-02
915.2 ,0.019486,0.021771,0.053834,0.105407,5.03E-02
915.0 ,0.028691,0.021808,0.036659,0.004595,6.44E-02
914.8 ,0.050847,0.009259,0.055557,0,4.26E-02
914.6 ,0.079025,0.042998,0.06138,0.055636,4.18E-02
914.4 ,0.003507,0.074636,0.01984,0.042086,3.73E-02
914.2 ,0.027025,0.031718,0.012908,0.040989,1.76E-02
914.0 ,0.051706,0.00471,0.037605,0.048198,9.40E-03
913.8 ,0.001181,0.069835,0.074298,0.036571,0.061316
913.6 ,0.005919,0.102896,0.094723,0.003562,4.63E-02
913.4 ,0.014316,0.023804,0.023847,0.022618,4.15E-02
913.2 ,0.048947,0.034647,0.015506,0.046677,9.10E-02
913.0 ,0.004798,0.057477,0.029963,0.039608,8.98E-02
912.8 ,0.025277,0.028843,0.033591,0.052863,1.92E-02
912.6 ,0.054397,0.088233,0.006042,0.01814,1.03E-01
912.4 ,0.064346,0.077739,0.040059,0.043688,3.89E-02
912.2 ,0.019558,0,0.003659,0.0476,3.66E-03
912.0 ,0.111366,0.079592,0.069863,0.033095,0.052792
911.8 ,0.073818,0.01476,0.047912,0.070037,0.054178
911.6 ,0.040718,0,0.08373,0.04801,4.92E-03
911.4 ,0.003715,0.058388,0.097657,0.053221,3.97E-02
911.2 ,0.02854,0.10932,0.099084,0.019858,0.039706
911.0 ,0.013708,0.009971,0.054818,0.024908,3.49E-02
910.8 ,0.02883,0.100119,0.060086,0.028868,0.015028
910.6 ,0.020117,0.015106,0.015067,0.0063,3.64E-02
910.4 ,0.023976,0.064162,0.03027,0.025171,0.074463
910.2 ,0.030289,0.031604,0.095763,0.041786,0.00E+00
910.0 ,0.024064,0.013925,0.015188,0.036805,2.03E-02
909.8 ,0.072506,0.010189,0.055925,0.047048,1.02E-02
909.6 ,0.021773,0.040879,0.086924,0.056125,2.94E-02
909.4 ,0.051323,0.035913,0.041011,0.050137,7.19E-02
909.2 ,0.032255,0.006443,0.06295,0.006443,1.03E-02
909.0 ,0.091978,0.014218,0.014252,0.098472,5.68E-02
908.8 ,0.024604,0.084356,0.035026,0.093304,1.56E-02
908.6 ,0.041597,0.022072,0.010386,0.015587,4.28E-02
908.4 ,0.031342,0.111052,0.071725,0.005217,3.14E-02
908.2 ,0.036579,0.01437,0.067819,0.011777,6.54E-03
908.0 ,0.017037,0.085109,0.068137,0,1.31E-03
907.8 ,0.021041,0.052623,0.005251,0.005267,4.86E-02
907.6 ,0.057999,0.022425,0.05801,0.109722,4.63E-02
907.4 ,0.067373,0.026452,0.021222,0.064808,1.48E-01
